,Small LowVol,Small Neutral,Small HighVol,Big LowVol,Big Neutral,Big HighVol,Rm-Rf,Rf,SLV-Rf,BLV-Rf,SHV-Rf,BHV-Rf,VOL,Conservative,Speculative,CMS
Jun-66,-1.09%,-0.07%,0.60%,-2.09%,-1.43%,2.15%,-1.44%,0.38%,-1.47%,-2.47%,0.22%,1.77%,-3.05%,-1.61%,-1.50%,-0.34%
Jul-66,-0.31%,-1.26%,-2.15%,-1.12%,-0.48%,-2.84%,-1.63%,0.35%,-0.66%,-1.47%,-2.50%,-3.19%,0.57%,-0.87%,-2.17%,0.79%
Aug-66,-7.96%,-10.49%,-12.11%,-5.96%,-8.05%,-9.62%,-7.91%,0.41%,-8.37%,-6.37%,-12.52%,-10.03%,-1.41%,-7.84%,-10.65%,0.73%
Sep-66,-0.36%,-1.18%,-2.14%,0.65%,-0.57%,-3.70%,-1.06%,0.40%,-0.76%,0.25%,-2.54%,-4.10%,1.94%,-0.53%,-1.93%,0.86%
Oct-66,1.90%,0.87%,-5.35%,7.46%,4.43%,-2.50%,3.86%,0.45%,1.45%,7.01%,-5.80%,-2.95%,7.80%,2.00%,-1.36%,2.74%
Nov-66,0.21%,3.58%,8.92%,-1.40%,1.53%,11.82%,1.40%,0.40%,-0.19%,-1.80%,8.52%,11.42%,-8.29%,-0.29%,8.24%,-6.42%
Dec-66,0.79%,2.00%,2.75%,-0.19%,0.93%,1.09%,0.13%,0.40%,0.39%,-0.59%,2.35%,0.69%,-1.14%,0.24%,2.47%,-1.59%
Jan-67,11.96%,17.06%,21.27%,6.49%,8.12%,12.40%,8.15%,0.43%,11.53%,6.06%,20.84%,11.97%,-1.29%,8.19%,20.28%,-6.90%
Feb-67,2.04%,2.69%,4.75%,0.77%,0.57%,1.92%,0.78%,0.36%,1.68%,0.41%,4.39%,1.56%,-0.67%,-0.11%,3.24%,-2.08%
Mar-67,3.93%,7.47%,6.88%,3.21%,4.99%,5.57%,3.99%,0.39%,3.54%,2.82%,6.49%,5.18%,-0.14%,3.38%,6.22%,-0.59%
Apr-67,2.61%,3.84%,4.74%,3.49%,5.12%,5.26%,3.89%,0.32%,2.29%,3.17%,4.42%,4.94%,0.07%,2.42%,3.43%,0.22%
May-67,-0.92%,-0.65%,-1.67%,-4.42%,-4.49%,-3.11%,-4.33%,0.33%,-1.25%,-4.75%,-2.00%,-3.44%,-1.69%,-2.27%,-2.39%,-0.72%
Jun-67,3.43%,7.10%,12.11%,1.30%,1.86%,4.90%,2.41%,0.27%,3.16%,1.03%,11.84%,4.63%,-2.97%,3.42%,6.81%,-0.96%
Jul-67,7.56%,9.16%,9.22%,2.25%,7.33%,5.58%,4.58%,0.31%,7.25%,1.94%,8.91%,5.27%,0.32%,7.93%,7.13%,3.40%
Aug-67,1.36%,0.79%,-0.77%,-0.66%,-0.39%,-0.92%,-0.89%,0.31%,1.05%,-0.97%,-1.08%,-1.23%,0.69%,1.04%,-0.54%,1.36%
Sep-67,3.14%,6.10%,5.80%,2.86%,3.71%,2.60%,3.11%,0.32%,2.82%,2.54%,5.48%,2.28%,0.58%,2.32%,3.84%,-0.21%
Oct-67,-2.71%,-2.70%,-1.90%,-1.97%,-4.01%,-2.43%,-3.09%,0.39%,-3.10%,-2.36%,-2.29%,-2.82%,-1.28%,-4.35%,-5.06%,-0.96%
Nov-67,-0.14%,0.90%,0.80%,1.27%,-0.36%,1.71%,0.37%,0.36%,-0.50%,0.91%,0.44%,1.35%,-0.33%,0.16%,0.07%,0.11%
Dec-67,4.76%,6.98%,12.42%,2.62%,2.43%,3.60%,3.05%,0.33%,4.43%,2.29%,12.09%,3.27%,-1.10%,4.56%,5.43%,0.89%
Jan-68,4.21%,2.26%,0.61%,-1.54%,-5.57%,-10.15%,-4.06%,0.40%,3.81%,-1.94%,0.21%,-10.55%,4.76%,1.32%,-4.28%,4.06%
Feb-68,-1.39%,-3.96%,-9.09%,-1.93%,-3.65%,-5.49%,-3.75%,0.39%,-1.78%,-2.32%,-9.48%,-5.88%,2.53%,-2.35%,-6.86%,2.11%
Mar-68,-1.44%,0.19%,-1.17%,0.21%,1.28%,2.08%,0.20%,0.38%,-1.82%,-0.17%,-1.55%,1.70%,-1.26%,-0.87%,-1.05%,-0.22%
Apr-68,8.07%,14.22%,18.32%,6.61%,10.22%,13.45%,9.05%,0.43%,7.64%,6.18%,17.89%,13.02%,-1.77%,8.24%,12.90%,0.19%
May-68,5.00%,7.59%,12.13%,1.23%,1.97%,4.70%,2.28%,0.45%,4.55%,0.78%,11.68%,4.25%,-1.83%,4.25%,5.11%,1.12%
Jun-68,4.25%,1.43%,-0.68%,2.14%,0.96%,-1.96%,0.69%,0.43%,3.82%,1.71%,-1.11%,-2.39%,4.39%,3.54%,-2.80%,5.54%
Jul-68,-0.26%,-2.76%,-4.42%,-0.23%,-3.22%,-6.30%,-2.72%,0.48%,-0.74%,-0.71%,-4.90%,-6.78%,3.04%,-1.30%,-7.92%,3.88%
Aug-68,2.45%,4.72%,4.50%,1.21%,2.01%,1.75%,1.34%,0.42%,2.03%,0.79%,4.08%,1.33%,0.04%,2.93%,0.40%,2.93%
Sep-68,5.04%,6.77%,8.24%,2.88%,5.14%,6.39%,4.03%,0.43%,4.61%,2.45%,7.81%,5.96%,-0.17%,5.21%,7.23%,0.93%
Oct-68,3.77%,2.58%,-1.85%,1.17%,1.21%,-0.35%,0.42%,0.44%,3.33%,0.73%,-2.29%,-0.79%,3.29%,2.43%,-1.26%,3.45%
Nov-68,6.95%,6.72%,9.90%,4.67%,5.57%,8.60%,5.43%,0.42%,6.53%,4.25%,9.48%,8.18%,0.76%,7.28%,8.44%,2.36%
Dec-68,-0.60%,-0.95%,1.36%,-4.11%,-3.53%,-4.21%,-3.94%,0.43%,-1.03%,-4.54%,0.93%,-4.64%,-2.15%,-2.54%,-3.46%,-0.43%
Jan-69,0.07%,-0.99%,-0.42%,-0.48%,-1.08%,-1.54%,-1.25%,0.53%,-0.46%,-1.01%,-0.95%,-2.07%,0.13%,1.07%,-3.36%,3.37%
Feb-69,-4.91%,-7.40%,-11.81%,-3.32%,-4.85%,-9.52%,-5.84%,0.46%,-5.37%,-3.78%,-12.27%,-9.98%,1.83%,-5.71%,-11.61%,1.54%
Mar-69,0.98%,2.63%,3.44%,3.42%,3.29%,2.88%,2.64%,0.46%,0.52%,2.96%,2.98%,2.42%,0.54%,1.08%,-0.46%,1.44%
Apr-69,0.36%,0.13%,0.99%,2.14%,2.21%,2.66%,1.46%,0.53%,-0.17%,1.61%,0.46%,2.13%,0.09%,-0.37%,-0.32%,-0.20%
May-69,0.43%,0.32%,-0.09%,0.81%,0.94%,-2.02%,-0.10%,0.48%,-0.05%,0.33%,-0.57%,-2.50%,1.25%,-1.09%,-3.27%,0.93%
Jun-69,-7.57%,-11.05%,-15.31%,-4.10%,-7.52%,-9.03%,-7.18%,0.51%,-8.08%,-4.61%,-15.82%,-9.54%,0.42%,-9.23%,-12.53%,-2.18%
Jul-69,-5.78%,-9.78%,-12.84%,-5.27%,-5.62%,-9.78%,-7.00%,0.53%,-6.31%,-5.80%,-13.37%,-10.31%,0.08%,-4.43%,-14.81%,4.74%
Aug-69,2.42%,7.16%,7.81%,3.50%,5.84%,8.43%,4.68%,0.50%,1.92%,3.00%,7.31%,7.93%,-1.84%,1.78%,8.15%,-3.11%
Sep-69,-0.76%,-0.32%,-3.38%,-2.50%,-2.22%,-4.39%,-2.98%,0.62%,-1.38%,-3.12%,-4.00%,-5.01%,-0.04%,-1.96%,-4.62%,0.56%
Oct-69,5.82%,7.05%,10.20%,4.44%,5.88%,5.90%,5.06%,0.60%,5.22%,3.84%,9.60%,5.30%,1.08%,4.39%,9.91%,-0.99%
Nov-69,-3.77%,-4.94%,-7.66%,-2.86%,-2.65%,-4.71%,-3.79%,0.52%,-4.29%,-3.38%,-8.18%,-5.23%,-0.81%,-4.42%,-8.59%,0.02%
Dec-69,-3.87%,-6.04%,-8.90%,-0.42%,-2.18%,-4.17%,-2.63%,0.64%,-4.51%,-1.06%,-9.54%,-4.81%,0.96%,-2.54%,-9.46%,2.69%
Jan-70,-2.15%,-3.83%,-7.89%,-6.53%,-8.27%,-12.12%,-8.10%,0.60%,-2.75%,-7.13%,-8.49%,-12.72%,0.22%,-4.54%,-9.95%,0.70%
Feb-70,3.42%,3.97%,4.08%,5.48%,6.23%,7.23%,5.13%,0.62%,2.80%,4.86%,3.46%,6.61%,1.75%,5.81%,4.65%,3.73%
Mar-70,2.01%,-1.19%,-5.21%,0.78%,-0.32%,-2.54%,-1.06%,0.57%,1.44%,0.21%,-5.78%,-3.11%,3.86%,-0.02%,-4.26%,2.70%
Apr-70,-9.30%,-14.02%,-22.71%,-8.04%,-9.25%,-16.57%,-11.00%,0.50%,-9.80%,-8.54%,-23.21%,-17.07%,0.77%,-8.27%,-20.45%,3.79%
May-70,-8.27%,-9.31%,-11.10%,-4.51%,-7.48%,-7.92%,-6.92%,0.53%,-8.80%,-5.04%,-11.63%,-8.45%,-2.57%,-6.11%,-12.22%,0.70%
Jun-70,-5.06%,-7.97%,-10.50%,-4.74%,-4.08%,-8.56%,-5.79%,0.58%,-5.64%,-5.32%,-11.08%,-9.14%,-0.66%,-2.50%,-10.56%,3.67%
Jul-70,6.86%,7.48%,6.88%,7.09%,7.66%,9.22%,6.93%,0.52%,6.34%,6.57%,6.36%,8.70%,3.23%,5.33%,7.74%,1.28%
Aug-70,4.55%,6.50%,9.75%,4.58%,4.59%,7.65%,4.49%,0.53%,4.02%,4.05%,9.22%,7.12%,-0.16%,2.56%,11.96%,-4.48%
Sep-70,5.74%,11.57%,19.41%,2.32%,4.21%,8.49%,4.18%,0.54%,5.20%,1.78%,18.87%,7.95%,-3.96%,2.08%,19.65%,-9.54%
Oct-70,-1.60%,-6.25%,-9.14%,0.26%,-1.97%,-5.93%,-2.28%,0.46%,-2.06%,-0.20%,-9.60%,-6.39%,3.49%,-0.76%,-14.61%,7.60%
Nov-70,2.51%,3.02%,0.36%,5.74%,4.88%,5.66%,4.60%,0.46%,2.05%,5.28%,-0.10%,5.20%,2.92%,6.00%,-0.85%,7.85%
Dec-70,10.49%,10.34%,7.23%,5.41%,6.99%,5.54%,5.72%,0.42%,10.07%,4.99%,6.81%,5.12%,5.57%,5.54%,8.05%,1.94%
Jan-71,8.16%,11.71%,15.02%,3.21%,5.02%,9.55%,4.84%,0.38%,7.78%,2.83%,14.64%,9.17%,-1.08%,4.64%,13.01%,-2.09%
Feb-71,2.01%,3.87%,3.92%,1.10%,1.82%,2.40%,1.41%,0.33%,1.68%,0.77%,3.59%,2.07%,-0.29%,0.47%,3.22%,-1.29%
Mar-71,3.53%,6.73%,6.81%,3.56%,4.40%,5.21%,4.13%,0.30%,3.23%,3.26%,6.51%,4.91%,0.35%,2.06%,6.84%,-1.48%
Apr-71,2.25%,4.04%,2.52%,2.81%,4.30%,6.53%,3.15%,0.28%,1.97%,2.53%,2.24%,6.25%,-0.07%,3.91%,3.19%,2.87%
May-71,-3.62%,-5.02%,-6.85%,-3.88%,-3.18%,-3.37%,-3.98%,0.29%,-3.91%,-4.17%,-7.14%,-3.66%,-1.47%,-4.40%,-7.45%,-1.05%
Jun-71,-0.89%,-2.06%,-2.11%,0.26%,1.15%,-0.07%,-0.10%,0.37%,-1.26%,-0.11%,-2.48%,-0.44%,0.12%,-0.24%,-3.28%,1.59%
Jul-71,-2.11%,-3.90%,-8.14%,-3.21%,-4.27%,-7.43%,-4.50%,0.40%,-2.51%,-3.61%,-8.54%,-7.83%,1.54%,-4.59%,-7.89%,-1.02%
Aug-71,3.73%,4.74%,5.82%,3.54%,3.45%,7.88%,3.79%,0.47%,3.26%,3.07%,5.35%,7.41%,-0.42%,5.91%,5.09%,4.13%
Sep-71,-0.95%,-0.97%,-1.30%,0.10%,-0.76%,-2.25%,-0.85%,0.37%,-1.32%,-0.27%,-1.67%,-2.62%,0.49%,-1.36%,-2.75%,-0.02%
Oct-71,-3.31%,-7.17%,-8.30%,-2.57%,-4.91%,-6.92%,-4.42%,0.37%,-3.68%,-2.94%,-8.67%,-7.29%,1.19%,-5.49%,-8.10%,-1.86%
Nov-71,-2.10%,-3.55%,-2.92%,0.75%,-0.08%,-1.00%,-0.46%,0.37%,-2.47%,0.38%,-3.29%,-1.37%,0.30%,-1.89%,-4.58%,0.41%
Dec-71,9.72%,13.42%,14.26%,8.22%,8.87%,10.47%,8.71%,0.37%,9.35%,7.85%,13.89%,10.10%,2.56%,8.11%,14.30%,1.54%
Jan-72,5.75%,7.46%,13.42%,1.65%,1.46%,5.78%,2.49%,0.29%,5.46%,1.36%,13.13%,5.49%,-1.86%,3.02%,6.00%,0.17%
Feb-72,2.26%,3.91%,2.74%,2.45%,3.33%,5.14%,2.87%,0.25%,2.01%,2.20%,2.49%,4.89%,0.05%,2.43%,3.49%,0.89%
Mar-72,0.21%,-0.94%,0.65%,1.66%,-0.01%,-1.08%,0.63%,0.27%,-0.06%,1.39%,0.38%,-1.35%,1.19%,1.15%,-2.02%,2.51%
Apr-72,-0.16%,0.87%,0.02%,0.30%,1.00%,1.65%,0.29%,0.29%,-0.45%,0.01%,-0.27%,1.36%,-0.63%,0.00%,-0.48%,0.27%
May-72,-1.86%,-3.07%,-3.09%,2.47%,1.11%,1.70%,1.25%,0.30%,-2.16%,2.17%,-3.39%,1.40%,0.66%,-0.12%,-4.42%,2.35%
Jun-72,-2.60%,-3.76%,-4.17%,-1.12%,-2.59%,-4.77%,-2.43%,0.29%,-2.89%,-1.41%,-4.46%,-5.06%,0.60%,-1.98%,-5.46%,0.75%
Jul-72,-0.75%,-2.75%,-6.12%,1.02%,-1.11%,-3.54%,-0.80%,0.31%,-1.06%,0.71%,-6.43%,-3.85%,3.03%,-0.27%,-5.89%,2.98%
Aug-72,1.99%,2.70%,0.19%,3.28%,5.83%,2.88%,3.26%,0.29%,1.70%,2.99%,-0.10%,2.59%,1.90%,3.34%,1.78%,3.03%
Sep-72,-1.76%,-3.38%,-3.52%,0.47%,-1.20%,-3.55%,-1.14%,0.34%,-2.10%,0.13%,-3.86%,-3.89%,1.41%,-1.68%,-3.76%,0.15%
Oct-72,0.85%,-1.11%,-2.64%,1.24%,1.91%,-1.05%,0.52%,0.40%,0.45%,0.84%,-3.04%,-1.45%,2.13%,2.17%,-3.26%,4.42%
Nov-72,6.39%,7.28%,4.78%,4.24%,5.97%,6.27%,4.60%,0.37%,6.02%,3.87%,4.41%,5.90%,2.29%,5.13%,7.59%,1.71%
Dec-72,-1.00%,-1.30%,-2.98%,2.02%,0.68%,-1.73%,0.62%,0.37%,-1.37%,1.65%,-3.35%,-2.10%,1.98%,-0.45%,-5.42%,2.57%
Jan-73,-3.52%,-5.13%,-6.11%,0.03%,-4.78%,-7.49%,-3.29%,0.44%,-3.96%,-0.41%,-6.55%,-7.93%,2.28%,-3.24%,-11.22%,2.63%
Feb-73,-4.24%,-8.93%,-9.71%,-3.11%,-4.40%,-6.81%,-4.85%,0.41%,-4.65%,-3.52%,-10.12%,-7.22%,0.74%,-3.82%,-10.08%,1.12%
Mar-73,-2.64%,-3.16%,-2.80%,0.04%,-1.10%,-1.43%,-1.30%,0.46%,-3.10%,-0.42%,-3.26%,-1.89%,-0.27%,-0.25%,-4.77%,2.29%
Apr-73,-3.37%,-7.61%,-10.31%,-3.30%,-5.29%,-7.55%,-5.68%,0.52%,-3.89%,-3.82%,-10.83%,-8.07%,1.39%,-2.40%,-12.08%,3.74%
May-73,-6.03%,-9.48%,-10.38%,-0.96%,-1.32%,-5.88%,-2.94%,0.51%,-6.54%,-1.47%,-10.89%,-6.39%,1.11%,-1.84%,-13.01%,4.76%
Jun-73,-2.66%,-3.59%,-3.74%,0.09%,-1.56%,-3.29%,-1.56%,0.51%,-3.17%,-0.42%,-4.25%,-3.80%,0.59%,-1.14%,-6.56%,2.00%
Jul-73,6.83%,12.84%,18.91%,2.20%,8.18%,11.06%,5.05%,0.64%,6.19%,1.56%,18.27%,10.42%,-4.36%,1.16%,17.44%,-7.33%
Aug-73,-3.04%,-4.28%,-5.92%,-3.40%,-2.34%,-2.21%,-3.82%,0.70%,-3.74%,-4.10%,-6.62%,-2.91%,-2.12%,-2.29%,-6.08%,0.16%
Sep-73,8.58%,12.42%,9.84%,2.15%,9.38%,9.42%,4.75%,0.68%,7.90%,1.47%,9.16%,8.74%,-0.29%,8.32%,10.80%,4.43%
Oct-73,0.41%,0.92%,-1.73%,0.13%,0.40%,-2.30%,-0.83%,0.65%,-0.24%,-0.52%,-2.38%,-2.95%,1.13%,0.81%,-7.33%,4.53%
Nov-73,-13.61%,-19.67%,-22.63%,-9.43%,-12.49%,-18.39%,-12.75%,0.56%,-14.17%,-9.99%,-23.19%,-18.95%,-1.29%,-9.31%,-24.16%,2.15%
Dec-73,-0.95%,-3.34%,-3.12%,1.07%,2.91%,2.63%,0.61%,0.64%,-1.59%,0.43%,-3.76%,1.99%,-0.16%,6.20%,-3.99%,9.22%
Jan-74,11.07%,13.30%,17.33%,-0.87%,-0.68%,2.35%,-0.17%,0.63%,10.44%,-1.50%,16.70%,1.72%,-0.79%,2.76%,9.46%,-1.59%
Feb-74,1.71%,0.87%,-1.81%,-0.54%,1.28%,1.12%,-0.47%,0.58%,1.13%,-1.12%,-2.39%,0.54%,0.28%,0.98%,-0.27%,1.27%
Mar-74,0.19%,0.99%,-1.80%,-1.70%,-2.85%,-4.69%,-2.81%,0.56%,-0.37%,-2.26%,-2.36%,-5.25%,0.70%,-2.78%,-3.56%,-1.34%
Apr-74,-4.50%,-5.56%,-6.81%,-4.01%,-4.16%,-5.70%,-5.29%,0.75%,-5.25%,-4.76%,-7.56%,-6.45%,-1.60%,-6.19%,-9.79%,-1.79%
May-74,-6.55%,-8.32%,-9.72%,-1.98%,-3.48%,-9.08%,-4.68%,0.75%,-7.30%,-2.73%,-10.47%,-9.83%,0.76%,-5.67%,-11.48%,-0.19%
Jun-74,-2.24%,-2.12%,-3.10%,-1.27%,-2.07%,-3.38%,-2.83%,0.60%,-2.84%,-1.87%,-3.70%,-3.98%,-0.35%,-2.58%,-4.73%,-0.35%
Jul-74,-2.62%,-4.28%,-5.34%,-8.42%,-5.99%,-5.29%,-8.05%,0.70%,-3.32%,-9.12%,-6.04%,-5.99%,-4.18%,-2.31%,-9.16%,2.29%
Aug-74,-6.39%,-8.41%,-6.73%,-8.14%,-9.18%,-9.19%,-9.35%,0.60%,-6.99%,-8.74%,-7.33%,-9.79%,-3.52%,-5.34%,-11.17%,-0.14%
Sep-74,-5.64%,-8.85%,-11.29%,-11.16%,-11.58%,-10.56%,-11.77%,0.81%,-6.45%,-11.97%,-12.10%,-11.37%,-2.72%,-5.99%,-13.53%,0.40%
Oct-74,6.42%,11.08%,11.14%,15.24%,20.11%,17.26%,16.10%,0.51%,5.91%,14.73%,10.63%,16.75%,1.92%,9.42%,17.51%,1.43%
Nov-74,-3.73%,-5.30%,-5.28%,-5.02%,-3.38%,-1.43%,-4.51%,0.54%,-4.27%,-5.56%,-5.82%,-1.97%,-2.89%,-2.96%,-2.28%,-2.71%
Dec-74,-5.16%,-6.98%,-8.27%,-1.71%,-2.22%,-4.39%,-3.45%,0.70%,-5.86%,-2.41%,-8.97%,-5.09%,0.50%,-3.33%,-7.85%,0.57%
Jan-75,26.37%,30.16%,33.46%,14.04%,11.26%,13.37%,13.66%,0.58%,25.79%,13.46%,32.88%,12.79%,6.29%,18.97%,30.70%,6.34%
Feb-75,2.11%,6.02%,4.58%,7.33%,4.59%,5.89%,5.56%,0.43%,1.68%,6.90%,4.15%,5.46%,0.97%,0.99%,9.88%,-4.96%
Mar-75,4.68%,9.13%,11.45%,0.64%,4.09%,7.83%,2.66%,0.41%,4.27%,0.23%,11.04%,7.42%,-4.74%,4.32%,9.27%,-0.24%
Apr-75,2.47%,4.39%,3.16%,3.53%,5.71%,8.45%,4.23%,0.44%,2.03%,3.09%,2.72%,8.01%,-1.56%,3.15%,4.58%,1.20%
May-75,5.60%,8.53%,8.76%,4.75%,6.13%,6.19%,5.19%,0.44%,5.16%,4.31%,8.32%,5.75%,-0.15%,3.88%,6.63%,0.87%
Jun-75,6.88%,8.29%,8.36%,4.70%,5.15%,7.01%,4.83%,0.41%,6.47%,4.29%,7.95%,6.60%,0.32%,5.30%,6.81%,2.60%
Jul-75,-1.65%,-3.08%,-3.93%,-5.87%,-7.46%,-7.31%,-6.59%,0.48%,-2.13%,-6.35%,-4.41%,-7.79%,0.10%,-4.35%,-7.08%,-1.19%
Aug-75,-2.70%,-5.71%,-7.94%,-1.41%,-1.95%,-3.62%,-2.85%,0.48%,-3.18%,-1.89%,-8.42%,-4.10%,1.93%,-1.29%,-6.38%,2.33%
Sep-75,-1.35%,-3.72%,-5.23%,-2.67%,-4.29%,-4.74%,-4.26%,0.53%,-1.88%,-3.20%,-5.76%,-5.27%,1.41%,-1.95%,-6.96%,1.82%
Oct-75,4.22%,2.45%,0.73%,7.25%,5.51%,4.91%,5.31%,0.56%,3.66%,6.69%,0.17%,4.35%,3.87%,5.63%,1.27%,6.41%
Nov-75,4.06%,3.28%,0.68%,3.34%,2.60%,3.66%,2.64%,0.41%,3.65%,2.93%,0.27%,3.25%,2.16%,3.47%,2.21%,3.04%
Dec-75,-0.71%,-0.70%,-1.22%,-0.75%,-1.57%,-1.91%,-1.60%,0.48%,-1.19%,-1.23%,-1.70%,-2.39%,0.28%,-0.78%,-0.52%,-0.66%
Jan-76,14.40%,19.89%,22.69%,11.21%,11.84%,15.69%,12.16%,0.47%,13.93%,10.74%,22.22%,15.22%,-0.75%,15.64%,14.31%,10.89%
Feb-76,6.12%,9.03%,12.10%,-0.79%,-0.52%,2.44%,0.32%,0.34%,5.78%,-1.13%,11.76%,2.10%,-2.49%,4.32%,3.18%,3.16%
Mar-76,1.17%,1.43%,1.23%,3.68%,2.27%,1.30%,2.32%,0.40%,0.77%,3.28%,0.83%,0.90%,1.57%,0.97%,-0.25%,1.34%
Apr-76,0.70%,-1.10%,-3.04%,-0.46%,-1.37%,-2.46%,-1.49%,0.42%,0.28%,-0.88%,-3.46%,-2.88%,2.10%,-1.01%,-2.59%,0.47%
May-76,-0.21%,-1.60%,-4.04%,-0.83%,-0.81%,-1.18%,-1.34%,0.37%,-0.58%,-1.20%,-4.41%,-1.55%,1.23%,-1.17%,-1.74%,-0.27%
Jun-76,2.49%,4.12%,4.50%,3.96%,5.20%,5.40%,4.05%,0.43%,2.06%,3.53%,4.07%,4.97%,-0.51%,5.09%,5.30%,2.61%
Jul-76,2.01%,0.40%,-1.31%,-0.40%,-0.74%,-1.67%,-1.07%,0.47%,1.54%,-0.87%,-1.78%,-2.14%,1.93%,-0.47%,-2.70%,1.25%
Aug-76,-0.26%,-1.94%,-3.74%,1.01%,-0.58%,-1.71%,-0.56%,0.42%,-0.68%,0.59%,-4.16%,-2.13%,2.40%,-0.83%,-2.32%,0.61%
Sep-76,2.42%,2.89%,2.87%,2.90%,2.14%,1.83%,2.07%,0.44%,1.98%,2.46%,2.43%,1.39%,0.94%,1.20%,2.19%,-0.08%
Oct-76,-0.13%,-2.47%,-3.18%,-1.26%,-2.60%,-3.37%,-2.42%,0.41%,-0.54%,-1.67%,-3.59%,-3.78%,1.79%,-1.68%,-4.29%,0.96%
Nov-76,3.31%,4.10%,3.97%,0.23%,-0.03%,2.46%,0.36%,0.40%,2.91%,-0.17%,3.57%,2.06%,-0.69%,2.92%,1.11%,2.74%
Dec-76,8.56%,10.26%,10.62%,5.05%,6.06%,6.06%,5.65%,0.40%,8.16%,4.65%,10.22%,5.66%,0.67%,7.13%,6.22%,4.04%
Jan-77,2.49%,1.39%,1.85%,-2.95%,-6.07%,-4.94%,-4.05%,0.36%,2.13%,-3.31%,1.49%,-5.30%,1.34%,-0.23%,-7.17%,4.97%
Feb-77,0.29%,-0.36%,-1.67%,-1.39%,-1.43%,-3.24%,-1.94%,0.35%,-0.06%,-1.74%,-2.02%,-3.59%,1.47%,-1.24%,-3.29%,0.89%
Mar-77,0.94%,0.44%,0.22%,-1.56%,-0.78%,-1.06%,-1.37%,0.38%,0.56%,-1.94%,-0.16%,-1.44%,0.01%,-0.09%,-2.16%,1.46%
Apr-77,0.81%,2.14%,1.53%,0.35%,0.51%,0.20%,0.15%,0.38%,0.43%,-0.03%,1.15%,-0.18%,-0.13%,1.39%,-1.85%,3.02%
May-77,0.47%,0.38%,-0.59%,-0.80%,-1.59%,-1.70%,-1.45%,0.37%,0.10%,-1.17%,-0.96%,-2.07%,0.76%,0.16%,-2.29%,1.86%
Jun-77,4.17%,6.46%,8.98%,4.44%,4.48%,7.54%,4.71%,0.40%,3.77%,4.04%,8.58%,7.14%,-2.35%,4.66%,7.12%,0.53%
Jul-77,1.21%,-0.14%,-0.14%,-0.83%,-2.27%,-1.63%,-1.69%,0.42%,0.79%,-1.25%,-0.56%,-2.05%,1.01%,-0.52%,-1.92%,0.77%
Aug-77,-1.17%,-0.19%,-0.25%,-1.85%,-1.10%,-0.99%,-1.75%,0.44%,-1.61%,-2.29%,-0.69%,-1.43%,-1.27%,-2.99%,-0.69%,-3.13%
Sep-77,0.87%,1.64%,1.21%,0.86%,-1.11%,-0.09%,-0.27%,0.43%,0.44%,0.43%,0.78%,-0.52%,0.43%,0.52%,0.35%,0.37%
Oct-77,-1.11%,-2.81%,-4.22%,-3.82%,-4.13%,-4.64%,-4.38%,0.49%,-1.60%,-4.31%,-4.71%,-5.13%,0.77%,-3.45%,-4.03%,-1.05%
Nov-77,5.22%,9.24%,10.21%,2.61%,5.17%,6.60%,4.00%,0.50%,4.72%,2.11%,9.71%,6.10%,-2.20%,4.73%,6.82%,0.16%
Dec-77,1.09%,1.67%,2.44%,0.84%,0.26%,0.38%,0.27%,0.49%,0.60%,0.35%,1.95%,-0.11%,-0.07%,-0.24%,-0.19%,-0.11%
Jan-78,-1.73%,-3.54%,-2.44%,-5.46%,-6.70%,-5.86%,-6.01%,0.49%,-2.22%,-5.95%,-2.93%,-6.35%,-0.72%,-5.02%,-5.98%,-1.06%
Feb-78,1.36%,2.76%,3.34%,-0.43%,-2.97%,-0.62%,-1.38%,0.46%,0.90%,-0.89%,2.88%,-1.08%,-0.57%,0.05%,-1.67%,1.39%
Mar-78,4.33%,6.74%,8.16%,1.78%,3.59%,5.40%,2.85%,0.53%,3.80%,1.25%,7.63%,4.87%,-1.68%,2.34%,6.37%,-2.76%
Apr-78,5.98%,8.64%,9.31%,6.67%,10.49%,9.95%,7.88%,0.54%,5.44%,6.13%,8.77%,9.41%,-0.17%,3.91%,9.84%,-4.00%
May-78,3.40%,5.96%,8.43%,0.24%,2.09%,5.39%,1.76%,0.51%,2.89%,-0.27%,7.92%,4.88%,-3.34%,1.99%,4.37%,-1.37%
Jun-78,0.78%,-0.46%,0.62%,-1.10%,-1.87%,-1.39%,-1.69%,0.54%,0.24%,-1.64%,0.08%,-1.93%,-0.02%,0.35%,-2.42%,2.37%
Jul-78,3.80%,6.84%,6.64%,3.96%,6.66%,8.60%,5.11%,0.56%,3.24%,3.40%,6.08%,8.04%,-1.55%,3.60%,5.65%,-0.69%
Aug-78,5.85%,8.00%,9.89%,3.23%,3.44%,5.36%,3.75%,0.56%,5.29%,2.67%,9.33%,4.80%,-0.41%,5.43%,4.02%,2.77%
Sep-78,0.49%,-0.93%,-2.16%,0.32%,-1.37%,-2.62%,-1.43%,0.62%,-0.13%,-0.30%,-2.78%,-3.24%,2.13%,-2.29%,-1.13%,-1.58%
Oct-78,-11.20%,-20.78%,-26.40%,-6.98%,-10.39%,-16.86%,-11.91%,0.68%,-11.88%,-7.66%,-27.08%,-17.54%,5.17%,-12.63%,-18.78%,2.31%
