,Small LowVol,Small Neutral,Small HighVol,Big LowVol,Big Neutral,Big HighVol,Rm-Rf,Rf,SLV-Rf,BLV-Rf,SHV-Rf,BHV-Rf,VOL,Conservative,Speculative,CMS
Mar-38,-29.00%,-35.65%,-39.62%,-20.58%,-26.65%,-32.15%,-23.82%,-0.01%,-28.99%,-20.57%,-39.61%,-32.14%,-6.44%,-21.03%,-37.28%,-1.72%
Apr-38,19.33%,26.70%,31.87%,12.08%,15.62%,21.88%,14.51%,0.01%,19.32%,12.07%,31.86%,21.87%,0.57%,13.96%,29.60%,-1.99%
May-38,-6.46%,-10.83%,-10.87%,-0.83%,-6.45%,-8.66%,-3.83%,0.00%,-6.46%,-0.83%,-10.87%,-8.66%,2.26%,-2.58%,-12.20%,4.01%
Jun-38,30.12%,40.93%,40.44%,16.23%,32.37%,36.00%,23.87%,0.00%,30.12%,16.23%,40.44%,36.00%,2.04%,16.36%,43.50%,-6.52%
Jul-38,13.01%,18.69%,12.91%,4.71%,9.19%,10.26%,7.34%,-0.01%,13.02%,4.72%,12.92%,10.27%,2.58%,8.94%,19.90%,-0.78%
Aug-38,-6.20%,-7.92%,-10.34%,-2.65%,-1.83%,-4.69%,-2.67%,0.00%,-6.20%,-2.65%,-10.34%,-4.69%,-0.41%,-3.70%,-8.80%,0.64%
Sep-38,-3.24%,-2.18%,-0.29%,1.43%,1.10%,-1.25%,0.81%,0.02%,-3.26%,1.41%,-0.31%,-1.27%,-0.16%,-0.61%,-1.79%,0.29%
Oct-38,14.51%,17.21%,23.36%,4.94%,8.27%,16.52%,7.80%,0.01%,14.50%,4.93%,23.35%,16.51%,-1.62%,8.00%,23.15%,-3.58%
Nov-38,-3.13%,-5.92%,-7.65%,-1.14%,-1.89%,-4.13%,-1.72%,-0.06%,-3.07%,-1.08%,-7.59%,-4.07%,1.21%,0.15%,-7.86%,4.33%
Dec-38,2.99%,4.64%,4.27%,3.92%,3.71%,6.68%,4.19%,0.00%,2.99%,3.92%,4.27%,6.68%,0.63%,2.65%,5.78%,-0.19%
Jan-39,-6.59%,-10.92%,-9.35%,-2.58%,-8.41%,-11.95%,-5.96%,-0.01%,-6.58%,-2.57%,-9.34%,-11.94%,1.68%,-3.88%,-10.06%,1.10%
Feb-39,5.98%,4.69%,2.62%,2.46%,4.82%,4.16%,3.51%,0.01%,5.97%,2.45%,2.61%,4.15%,2.48%,5.43%,1.44%,5.28%
Mar-39,-13.22%,-24.48%,-26.18%,-5.42%,-16.56%,-25.27%,-11.99%,-0.01%,-13.21%,-5.41%,-26.17%,-25.26%,5.69%,-8.94%,-23.81%,3.16%
Apr-39,-0.09%,1.97%,1.97%,0.15%,-1.16%,1.51%,-0.18%,0.00%,-0.09%,0.15%,1.97%,1.51%,-0.99%,1.20%,-0.49%,1.62%
May-39,8.81%,10.57%,11.10%,5.20%,8.42%,8.74%,6.80%,0.01%,8.80%,5.19%,11.09%,8.73%,1.96%,8.76%,8.49%,5.20%
